您服務的單位或待業前服務的單位提供哪些職場相關措施？,其他，請說明,其他，請說明,合適家庭共同參加之聯誼時間與方式,合適家庭共同參加之聯誼時間與方式,因懷孕或育兒可選擇（非被迫）職務內容之調整,因懷孕或育兒可選擇（非被迫）職務內容之調整,彈性工作地點以兼顧家務 (例如可部分時間在家工作),彈性工作地點以兼顧家務 (例如可部分時間在家工作),彈性工時以兼顧家務 (例如可以只上午班或下午班),彈性工時以兼顧家務 (例如可以只上午班或下午班),托兒服務（指於單位內部設有收托二歲至六歲兒童之服務機構）,托兒服務（指於單位內部設有收托二歲至六歲兒童之服務機構）,托嬰服務（指於單位內部設有收托二歲以下兒童之服務機構）,托嬰服務（指於單位內部設有收托二歲以下兒童之服務機構）,無，沒有提供 ( 若選此項,無，沒有提供 ( 若選此項,無，沒有提供 ( 若選此項,育兒津貼,育兒津貼,育嬰留職停薪後可確保回復原職,育嬰留職停薪後可確保回復原職,設備完善的哺集乳室,設備完善的哺集乳室,All
1. 性別：,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性,其他,女性,男性,女性,男性,女性,男性,女性,男性,
10.	請問您目前服務的職務較接近下列何者？,,,,,,,,,,,,,,,,,,,,,,,,
公司或學術研究機構之高階主管，如董事長、總/副總經理或所長、院長層級,0,0,2,3,1,3,2,7,5,11,2,1,0,1,0,2,9,0,0,3,11,4,5,83
其他（請說明）,0,2,1,0,2,1,2,0,2,1,3,0,2,1,0,8,8,1,0,4,3,5,3,65
工程與科技領域之管理職務,1,9,11,41,12,36,9,23,9,41,5,15,4,9,0,26,125,12,35,49,137,42,71,873
工程與科技領域之非管理職務,6,5,35,47,61,46,16,27,28,46,21,15,12,11,1,88,113,66,77,180,146,121,55,1425
自行創業或自行開業之技師,1,2,1,3,0,2,3,14,5,16,0,1,0,1,0,6,15,0,1,3,5,1,1,102
非工程與科技領域之管理職務,0,0,0,3,3,2,0,1,0,6,0,1,0,2,0,4,9,2,0,10,9,9,2,76
非工程與科技領域之非管理職務,2,0,2,2,1,3,2,1,3,2,1,3,1,1,0,9,3,5,1,14,4,11,4,87
All,10,18,52,99,80,93,34,73,52,123,32,36,19,26,1,143,282,86,114,263,315,193,141,2711
